Day	Date 	  Open   	  High   	  Low   	  Close   
Tuesday	21-Mar-00	" 1,563.30 "	" 1,585.25 "	" 1,542.65 "	" 1,556.60 "
Wednesday	22-Mar-00	" 1,551.05 "	" 1,604.00 "	" 1,551.05 "	" 1,589.60 "
Thursday	23-Mar-00	" 1,590.30 "	" 1,629.20 "	" 1,544.50 "	" 1,553.40 "
Friday	24-Mar-00	" 1,554.20 "	" 1,579.40 "	" 1,540.45 "	" 1,569.55 "
Monday	27-Mar-00	" 1,570.45 "	" 1,593.30 "	" 1,555.75 "	" 1,562.95 "
Tuesday	28-Mar-00	" 1,563.30 "	" 1,575.85 "	" 1,527.55 "	" 1,568.60 "
Wednesday	29-Mar-00	" 1,569.30 "	" 1,609.40 "	" 1,553.40 "	" 1,558.25 "
Thursday	30-Mar-00	" 1,556.95 "	" 1,557.85 "	" 1,489.10 "	" 1,549.50 "
Friday	31-Mar-00	" 1,545.55 "	" 1,545.55 "	" 1,493.90 "	" 1,528.45 "
Monday	3-Apr-00	" 1,528.70 "	" 1,555.50 "	" 1,510.75 "	" 1,534.75 "
Tuesday	4-Apr-00	" 1,534.05 "	" 1,534.05 "	" 1,420.85 "	" 1,428.10 "
Wednesday	5-Apr-00	" 1,428.50 "	" 1,467.40 "	" 1,391.65 "	" 1,434.65 "
Thursday	6-Apr-00	" 1,436.15 "	" 1,475.25 "	" 1,381.05 "	" 1,452.95 "
Friday	7-Apr-00	" 1,453.30 "	" 1,558.05 "	" 1,453.30 "	" 1,557.15 "
Monday	10-Apr-00	" 1,557.55 "	" 1,636.95 "	" 1,557.55 "	" 1,613.00 "
Tuesday	11-Apr-00	" 1,613.00 "	" 1,631.60 "	" 1,550.85 "	" 1,624.65 "
Wednesday	12-Apr-00	" 1,624.40 "	" 1,628.55 "	" 1,586.00 "	" 1,592.70 "
Thursday	13-Apr-00	" 1,587.95 "	" 1,587.95 "	" 1,502.70 "	" 1,518.65 "
Monday	17-Apr-00	" 1,518.55 "	" 1,518.55 "	" 1,412.45 "	" 1,443.55 "
Tuesday	18-Apr-00	" 1,443.55 "	" 1,478.85 "	" 1,410.00 "	" 1,414.80 "
Wednesday	19-Apr-00	" 1,417.75 "	" 1,469.05 "	" 1,375.05 "	" 1,404.95 "
Thursday	20-Apr-00	" 1,405.70 "	" 1,425.55 "	" 1,339.75 "	" 1,415.65 "
Monday	24-Apr-00	" 1,416.05 "	" 1,431.80 "	" 1,371.85 "	" 1,388.00 "
Tuesday	25-Apr-00	" 1,383.80 "	" 1,383.80 "	" 1,311.30 "	" 1,359.45 "
Wednesday	26-Apr-00	" 1,362.50 "	" 1,439.05 "	" 1,362.50 "	" 1,436.10 "
Thursday	27-Apr-00	" 1,436.15 "	" 1,455.85 "	" 1,400.65 "	" 1,416.90 "
Friday	28-Apr-00	" 1,419.90 "	" 1,438.00 "	" 1,396.55 "	" 1,406.55 "
Tuesday	2-May-00	" 1,410.00 "	" 1,421.50 "	" 1,319.65 "	" 1,333.45 "
Wednesday	3-May-00	" 1,330.15 "	" 1,342.15 "	" 1,258.10 "	" 1,316.05 "
Thursday	4-May-00	" 1,317.95 "	" 1,385.15 "	" 1,317.95 "	" 1,380.55 "
Friday	5-May-00	" 1,381.90 "	" 1,428.60 "	" 1,381.90 "	" 1,422.40 "
Monday	8-May-00	" 1,423.25 "	" 1,436.60 "	" 1,358.80 "	" 1,365.05 "
Tuesday	9-May-00	" 1,362.45 "	" 1,385.70 "	" 1,328.05 "	" 1,378.55 "
Wednesday	10-May-00	" 1,380.40 "	" 1,391.35 "	" 1,359.65 "	" 1,363.15 "
Thursday	11-May-00	" 1,359.10 "	" 1,359.10 "	" 1,295.95 "	" 1,304.55 "
Friday	12-May-00	" 1,305.30 "	" 1,326.30 "	" 1,276.40 "	" 1,282.80 "
Monday	15-May-00	" 1,281.30 "	" 1,311.70 "	" 1,220.70 "	" 1,299.25 "
Tuesday	16-May-00	" 1,300.20 "	" 1,310.45 "	" 1,287.80 "	" 1,306.85 "
Wednesday	17-May-00	" 1,310.80 "	" 1,347.70 "	" 1,303.75 "	" 1,311.65 "
Thursday	18-May-00	" 1,311.30 "	" 1,316.20 "	" 1,289.55 "	" 1,293.40 "
Friday	19-May-00	" 1,293.45 "	" 1,293.45 "	" 1,252.70 "	" 1,268.00 "
Monday	22-May-00	" 1,267.85 "	" 1,267.85 "	" 1,228.40 "	" 1,233.00 "
Tuesday	23-May-00	" 1,229.25 "	" 1,230.90 "	" 1,203.20 "	" 1,224.40 "
Wednesday	24-May-00	" 1,224.50 "	" 1,246.25 "	" 1,201.50 "	" 1,235.90 "
Thursday	25-May-00	" 1,237.00 "	" 1,269.80 "	" 1,235.70 "	" 1,247.65 "
Friday	26-May-00	" 1,247.10 "	" 1,278.75 "	" 1,232.85 "	" 1,275.35 "
Monday	29-May-00	" 1,273.70 "	" 1,317.75 "	" 1,267.40 "	" 1,311.05 "
Tuesday	30-May-00	" 1,310.80 "	" 1,347.30 "	" 1,304.95 "	" 1,344.85 "
Wednesday	31-May-00	" 1,355.35 "	" 1,410.75 "	" 1,355.35 "	" 1,380.45 "
Thursday	1-Jun-00	" 1,380.40 "	" 1,380.40 "	" 1,345.10 "	" 1,349.00 "
Friday	2-Jun-00	" 1,350.15 "	" 1,395.35 "	" 1,350.15 "	" 1,389.25 "
Monday	5-Jun-00	" 1,390.95 "	" 1,461.05 "	" 1,390.95 "	" 1,404.60 "
Tuesday	6-Jun-00	" 1,405.45 "	" 1,426.15 "	" 1,392.70 "	" 1,421.75 "
Wednesday	7-Jun-00	" 1,423.40 "	" 1,442.70 "	" 1,413.80 "	" 1,430.35 "
Thursday	8-Jun-00	" 1,430.50 "	" 1,468.70 "	" 1,430.50 "	" 1,463.65 "
Friday	9-Jun-00	" 1,464.30 "	" 1,485.50 "	" 1,458.90 "	" 1,467.20 "
Monday	12-Jun-00	" 1,464.40 "	" 1,477.55 "	" 1,437.15 "	" 1,440.40 "
Tuesday	13-Jun-00	" 1,438.80 "	" 1,438.80 "	" 1,411.90 "	" 1,432.90 "
Wednesday	14-Jun-00	" 1,434.95 "	" 1,459.15 "	" 1,423.95 "	" 1,435.50 "
Thursday	15-Jun-00	" 1,437.00 "	" 1,452.80 "	" 1,422.40 "	" 1,445.25 "
Friday	16-Jun-00	" 1,443.15 "	" 1,480.85 "	" 1,441.60 "	" 1,477.30 "
Monday	19-Jun-00	" 1,477.55 "	" 1,510.45 "	" 1,477.55 "	" 1,498.75 "
Tuesday	20-Jun-00	" 1,498.00 "	" 1,518.05 "	" 1,497.05 "	" 1,507.10 "
Wednesday	21-Jun-00	" 1,524.05 "	" 1,539.10 "	" 1,470.40 "	" 1,475.15 "
Thursday	22-Jun-00	" 1,475.65 "	" 1,491.40 "	" 1,461.30 "	" 1,488.25 "
Friday	23-Jun-00	" 1,487.85 "	" 1,499.85 "	" 1,462.75 "	" 1,472.20 "
Monday	26-Jun-00	" 1,472.15 "	" 1,472.15 "	" 1,431.25 "	" 1,451.65 "
